time_iso8601,forks_cumulative
2021-07-03 00:00:00+00:00,1
2021-07-09 00:00:00+00:00,3
2021-07-11 00:00:00+00:00,4
2021-07-12 00:00:00+00:00,5
2021-07-13 00:00:00+00:00,6
2021-07-15 00:00:00+00:00,7
2021-07-19 00:00:00+00:00,8
2021-07-26 00:00:00+00:00,9
2021-08-05 00:00:00+00:00,10
2021-08-29 00:00:00+00:00,11
2021-08-30 00:00:00+00:00,13
2021-09-12 00:00:00+00:00,14
2021-09-20 00:00:00+00:00,15
2021-09-23 00:00:00+00:00,16
2021-09-30 00:00:00+00:00,17
2021-10-17 00:00:00+00:00,18
2021-10-20 00:00:00+00:00,19
2021-12-16 00:00:00+00:00,20
2021-12-18 00:00:00+00:00,21
2021-12-20 00:00:00+00:00,22
2022-04-06 00:00:00+00:00,23
2022-04-23 00:00:00+00:00,24
2022-04-30 00:00:00+00:00,25
2022-06-28 00:00:00+00:00,26
2022-09-01 00:00:00+00:00,27
2022-09-15 00:00:00+00:00,28
2022-09-26 00:00:00+00:00,29
2022-09-27 00:00:00+00:00,30
2022-10-12 00:00:00+00:00,31
2022-10-18 00:00:00+00:00,32
2022-11-15 00:00:00+00:00,33
2022-12-02 00:00:00+00:00,34
2022-12-27 00:00:00+00:00,35
2023-01-11 00:00:00+00:00,36
2023-02-08 00:00:00+00:00,37
2023-05-31 00:00:00+00:00,38
2023-06-09 00:00:00+00:00,39
2023-06-13 00:00:00+00:00,40
2023-06-14 00:00:00+00:00,41
