time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-23 00:00:00+00:00,5,4,89,20
2023-08-24 00:00:00+00:00,5,4,24,9
2023-08-25 00:00:00+00:00,8,7,134,16
2023-08-26 00:00:00+00:00,5,4,3,3
2023-08-27 00:00:00+00:00,6,5,19,10
2023-08-28 00:00:00+00:00,9,8,131,28
2023-08-29 00:00:00+00:00,5,4,80,17
2023-08-30 00:00:00+00:00,5,4,67,21
2023-08-31 00:00:00+00:00,7,5,64,18
2023-09-01 00:00:00+00:00,5,4,50,15
2023-09-02 00:00:00+00:00,5,4,3,3
2023-09-03 00:00:00+00:00,5,4,20,5
2023-09-04 00:00:00+00:00,7,6,38,8
2023-09-05 00:00:00+00:00,2,2,54,13
