time_iso8601,stars_cumulative
2021-06-30 00:00:00+00:00,1
2021-07-05 00:00:00+00:00,5
2021-07-06 00:00:00+00:00,8
2021-07-08 00:00:00+00:00,13
2021-07-09 00:00:00+00:00,16
2021-07-10 00:00:00+00:00,22
2021-07-11 00:00:00+00:00,26
2021-07-12 00:00:00+00:00,29
2021-07-13 00:00:00+00:00,31
2021-07-14 00:00:00+00:00,34
2021-07-18 00:00:00+00:00,39
2021-07-19 00:00:00+00:00,44
2021-07-20 00:00:00+00:00,46
2021-07-21 00:00:00+00:00,47
2021-07-22 00:00:00+00:00,48
2021-07-27 00:00:00+00:00,49
2021-07-29 00:00:00+00:00,50
2021-08-05 00:00:00+00:00,51
2021-08-06 00:00:00+00:00,52
2021-08-18 00:00:00+00:00,56
2021-08-22 00:00:00+00:00,57
2021-08-24 00:00:00+00:00,58
2021-08-26 00:00:00+00:00,59
2021-08-28 00:00:00+00:00,60
2021-08-29 00:00:00+00:00,68
2021-08-30 00:00:00+00:00,74
2021-08-31 00:00:00+00:00,75
2021-09-04 00:00:00+00:00,76
2021-09-06 00:00:00+00:00,77
2021-09-07 00:00:00+00:00,78
2021-09-09 00:00:00+00:00,79
2021-09-15 00:00:00+00:00,80
2021-09-19 00:00:00+00:00,81
2021-09-20 00:00:00+00:00,82
2021-09-21 00:00:00+00:00,83
2021-09-26 00:00:00+00:00,84
2021-09-29 00:00:00+00:00,85
2021-09-30 00:00:00+00:00,86
2021-11-03 00:00:00+00:00,87
2021-11-15 00:00:00+00:00,88
2021-11-22 00:00:00+00:00,89
2021-12-18 00:00:00+00:00,90
2021-12-22 00:00:00+00:00,92
2022-01-06 00:00:00+00:00,93
2022-01-07 00:00:00+00:00,94
2022-01-11 00:00:00+00:00,96
2022-01-12 00:00:00+00:00,97
2022-01-24 00:00:00+00:00,98
2022-01-29 00:00:00+00:00,99
2022-02-10 00:00:00+00:00,100
2022-02-12 00:00:00+00:00,101
2022-02-17 00:00:00+00:00,103
2022-02-22 00:00:00+00:00,104
2022-03-09 00:00:00+00:00,105
2022-03-21 00:00:00+00:00,106
2022-03-22 00:00:00+00:00,107
2022-03-29 00:00:00+00:00,108
2022-03-31 00:00:00+00:00,110
2022-04-20 00:00:00+00:00,111
2022-04-27 00:00:00+00:00,112
2022-05-02 00:00:00+00:00,113
2022-05-13 00:00:00+00:00,114
2022-05-27 00:00:00+00:00,115
2022-06-08 00:00:00+00:00,116
2022-07-06 00:00:00+00:00,117
2022-07-08 00:00:00+00:00,118
2022-07-20 00:00:00+00:00,119
2022-07-26 00:00:00+00:00,121
2022-07-27 00:00:00+00:00,123
2022-07-28 00:00:00+00:00,124
2022-08-05 00:00:00+00:00,126
2022-08-07 00:00:00+00:00,127
2022-08-16 00:00:00+00:00,129
2022-08-23 00:00:00+00:00,131
2022-08-25 00:00:00+00:00,132
2022-09-05 00:00:00+00:00,133
2022-09-10 00:00:00+00:00,134
2022-09-12 00:00:00+00:00,135
2022-09-13 00:00:00+00:00,136
2022-09-17 00:00:00+00:00,137
2022-09-26 00:00:00+00:00,138
2022-10-05 00:00:00+00:00,139
2022-10-06 00:00:00+00:00,140
2022-10-12 00:00:00+00:00,141
2022-10-18 00:00:00+00:00,145
2022-10-19 00:00:00+00:00,147
2022-10-21 00:00:00+00:00,149
2022-10-22 00:00:00+00:00,150
2022-11-10 00:00:00+00:00,151
2022-11-11 00:00:00+00:00,152
2022-11-12 00:00:00+00:00,153
2022-11-23 00:00:00+00:00,154
2022-12-03 00:00:00+00:00,155
2022-12-15 00:00:00+00:00,156
2022-12-23 00:00:00+00:00,157
2023-01-03 00:00:00+00:00,158
2023-01-09 00:00:00+00:00,159
2023-01-11 00:00:00+00:00,160
2023-01-12 00:00:00+00:00,162
2023-01-17 00:00:00+00:00,163
2023-01-20 00:00:00+00:00,164
2023-01-27 00:00:00+00:00,165
2023-02-02 00:00:00+00:00,166
2023-02-07 00:00:00+00:00,167
2023-02-09 00:00:00+00:00,168
2023-02-13 00:00:00+00:00,169
2023-02-25 00:00:00+00:00,170
2023-03-16 00:00:00+00:00,171
2023-04-03 00:00:00+00:00,172
2023-04-07 00:00:00+00:00,173
2023-04-11 00:00:00+00:00,174
2023-04-18 00:00:00+00:00,175
2023-04-19 00:00:00+00:00,176
2023-04-26 00:00:00+00:00,177
2023-04-27 00:00:00+00:00,178
2023-05-09 00:00:00+00:00,179
2023-05-18 00:00:00+00:00,180
2023-05-21 00:00:00+00:00,181
2023-05-22 00:00:00+00:00,182
2023-05-25 00:00:00+00:00,183
2023-05-26 00:00:00+00:00,184
2023-06-06 00:00:00+00:00,185
2023-06-09 00:00:00+00:00,186
2023-06-17 00:00:00+00:00,187
2023-06-25 00:00:00+00:00,188
2023-07-06 00:00:00+00:00,189
2023-07-12 00:00:00+00:00,190
2023-07-19 00:00:00+00:00,191
2023-07-28 00:00:00+00:00,192
2023-08-17 00:00:00+00:00,193
2023-09-12 00:00:00+00:00,196
2023-09-14 00:00:00+00:00,198
2023-09-19 00:00:00+00:00,199
2023-10-27 00:00:00+00:00,200
2023-11-04 00:00:00+00:00,201
2023-11-11 00:00:00+00:00,202
2023-11-18 00:00:00+00:00,203
2023-11-21 00:00:00+00:00,204
2023-11-24 00:00:00+00:00,205
